target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop2_penalty_axes,gate_only,production_scoring_changed
FINANCIAL_SPREAD_BALANCE_SHEET,korea_discount_policy|dividend_tax_reform|bank_pbr_rerating_news|valueup_index_news,roe_improvement|cet1_stable|credit_cost_down|buyback_or_dividend_execution,pbr_roe_frame_change|recurring_return_policy|roe_stable|credit_risk_low,financial_valueup_crowded|pbr_band_above_history|return_policy_fully_priced,credit_cost_spike|pf_loss|cet1_deterioration|shareholder_return_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1_deterioration|return_policy_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1|tax_policy,false,false
INSURANCE_UNDERWRITING_CYCLE,loss_ratio_improvement|csm_growth|valueup_insurance_news,roe_improvement|k_ics_stable|dividend_or_buyback_execution|csm_growth,pbr_roe_rerating|repeat_underwriting_quality|capital_ratio_stable|return_policy_repeatable,insurance_valueup_crowded|pbr_normalized|dividend_yield_chasing,loss_ratio_worse|k_ics_deterioration|alternative_investment_loss|cyber_operational_risk,loss_ratio|k_ics_deterioration|operational_risk|investment_loss,loss_ratio|k_ics|investment_loss|operational_risk,false,false
SECURITIES_BROKERAGE_CYCLE,trading_value_growth|market_rally|ipo_ib_recovery_expectation,brokerage_revenue_growth|ib_fee_growth|op_eps_revision,pf_risk_low|roe_structure_improved|ib_pipeline_durable,brokerage_cycle_peak|securities_group_overheated|trading_value_peak,tax_policy_shock|trading_value_drop|pf_loss|proprietary_trading_loss,tax_policy_shock|trading_value_drop|pf_loss|proprietary_loss,trading_value|tax_policy|pf_loss|proprietary_loss,false,false
VALUE_UP_SHAREHOLDER_RETURN,commercial_act_revision|dividend_tax_reform|valueup_index|buyback_policy_news,treasury_share_cancellation|dividend_growth|roe_improvement|shareholder_return_execution,pbr_nav_discount_narrows|repeat_return_policy|capital_allocation_execution|pbr_roe_band_shift,valueup_crowded_trade|pbr_band_rerated_before_execution,no_cancellation|activist_rejection|capital_allocation_retreat|controlling_shareholder_risk,no_cancellation|execution_failure|low_roe|controlling_shareholder_risk|buyback_only,execution_failure|buyback_only|low_roe|policy_only,false,false
HOLDING_RESTRUCTURING_GOVERNANCE,nav_discount|subsidiary_value_gap|activist_or_buyback_news,buyback_cancel|independent_director|dividend_policy|governance_improvement,nav_discount_narrows|repeat_capital_return|minority_protection|subsidiary_value_supported,holding_valueup_crowded|event_premium_fully_priced,activist_rejection|governance_battle|debt_ratio_jump|subsidiary_value_impairment|share_issuance_defense,governance_battle|event_premium|debt_ratio_jump|minority_conflict|share_issuance_defense,event_premium|governance_battle|share_issuance|debt_ratio_jump,false,false
PAYMENT_FINTECH_INFRA,active_users_growth|global_expansion|payment_remittance_finance_service,payment_volume|take_rate|financial_service_attach|profit_or_fcf,repeat_financial_infra_revenue|regulatory_stability|security_clean|credit_loss_control,ipo_valuation_overheated|user_count_story_crowded,security_incident|credit_loss_rate_up|take_rate_pressure|regulatory_sanction,take_rate_pressure|security_incident|credit_loss|regulatory_sanction|user_count_only,take_rate|fcf|security|credit_loss|ipo_valuation,false,false
DIGITAL_ASSET_TOKENIZATION,stablecoin_sto_bill|tokenization_business_entry|partnership_news,regulatory_approval|issued_amount|transaction_volume|fee_model|reserve_disclosure,payment_custody_settlement_infra|repeat_revenue|reserve_transparency|convertibility_clear,stablecoin_law_expectation_crowded|sto_theme_rally,depeg|convertibility_failure|reserve_problem|regulatory_rejection|fraud,depeg|reserve_opacity|convertibility_risk|fraud|regulatory_rejection,reserve|convertibility|regulated_revenue|fee_model,false,false
CREDIT_DATA_INFRA,credit_data_contract|financial_data_infra|customer_growth,recurring_financial_institution_contract|data_revenue_growth|opm_improvement,repeat_data_revenue|regulatory_clean|customer_diversification,credit_data_story_crowded,privacy_breach|regulatory_sanction|customer_concentration|contract_loss,privacy_breach|regulation|customer_concentration,privacy|regulation|customer_concentration,false,false
VC_EXIT_MARKET_CYCLE,ipo_market_reopen|venture_exit_expectation|valuation_rebound,exit_volume|realized_gain|fundraising_recovery,repeat_exit_market|portfolio_quality|cash_return,vc_exit_cycle_crowded,ipo_market_slowdown|valuation_loss|funding_market_freeze,ipo_slowdown|valuation_loss|funding_freeze,ipo_cycle|valuation_loss|funding_freeze,false,false
DIGITAL_ASSET_THEME_OVERHEAT,nft_coin_theme|blockchain_keyword|algorithmic_stablecoin_story,regulated_revenue|license_or_partner|cash_flow,legal_recurring_revenue|reserve_and_redemption_proven|low_regulatory_risk,digital_asset_theme_overheated,depeg|run|reserve_failure|fraud|market_manipulation|no_revenue,depeg|reserve_failure|fraud|theme_only|no_revenue,theme_only|no_revenue|depeg|fraud,false,false
