target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop2_penalty_axes,gate_only,production_scoring_changed
CDMO_HEALTHCARE_CONTRACT,cdmo_contract|capacity_expansion|new_manufacturing_site|us_eu_local_production,long_term_contract|capacity_utilization|customer_diversification|op_eps_revision,multi_year_production_visibility|fcf_conversion|utilization_leverage|high_value_modality_mix,capacity_premium_overheated|capex_story_priced_before_utilization,utilization_down|contract_delay|capex_burden|tariff_or_quality_issue|us_operating_cost,underutilization|customer_concentration|capex_burden|quality_issue|tariff|us_operating_cost,utilization|customer_contract|capex|quality,false,false
CRO_CLINICAL_SERVICE,clinical_service_backlog|pharma_rd_budget|trial_volume_growth,service_revenue_growth|customer_diversification|repeat_service_revenue|funding_cycle_stable,multi_year_backlog|funding_cycle_stable|high_fcf_conversion,cro_recovery_expectation_overheated,biotech_funding_crunch|customer_rd_budget_cut|forecast_cut|order_cancellation|revenue_decline,biotech_funding_cycle_down|customer_budget_cut|trial_delay|low_margin_backlog|forecast_cut,funding_cycle|customer_budget|forecast_cut,false,false
BIOSIMILAR_COMMERCIALIZATION,fda_ema_approval|patent_expiry|biosimilar_launch|discount_access_program,pbm_listing|insurance_coverage|prescription_conversion|launch_revenue,prescription_growth|margin_defense|multi_country_launch|payer_access,approval_news_overheated|biosimilar_launch_crowded,price_competition|prescription_conversion_delay|margin_collapse|pbm_incentive_gap,price_competition|coverage_gap|slow_switching|margin_pressure|pbm_incentive_gap,pbm|coverage|prescription_switch|margin,false,false
BIOSIMILAR_ORIGINATOR_DEFENSE,patent_cliff|originator_defense|pipeline_replacement,pipeline_revenue_offset|price_defense|capital_allocation,defended_revenue_base|new_product_offset|margin_protection,defense_narrative_overpriced,patent_cliff|pipeline_failure|pricing_pressure|share_loss,patent_cliff|pipeline_failure|share_loss|pricing_pressure,patent_cliff|pipeline_offset|pricing_pressure,false,false
OBESITY_GLP1_COMMERCIALIZATION,glp1_approval|oral_glp1_trial|prescription_growth|maintenance_therapy_data,weekly_scripts|insurance_coverage|supply_capacity|sales_ramp|price_defense,durable_prescription_growth|price_defense|op_eps_revision|coverage_expansion|maintenance_use_case,obesity_market_narrative_crowded|scripts_lag_valuation|market_size_priced_before_uptake,compounded_alternative|price_cut|coverage_denial|prescription_slowdown|telehealth_channel_risk,competition|compounded_alternative|coverage_gap|price_regulation|slow_uptake|telehealth_channel_risk,scripts|coverage|price|competition|compounded_drugs,false,false
GENE_THERAPY_RARE_DISEASE,gene_therapy_approval|rare_disease_unmet_need|patient_recruitment,treated_patients|reimbursement|commercial_sales|cash_runway,repeat_commercial_uptake|dilution_risk_controlled|pipeline_revenue,approval_news_overheated|rare_disease_story_crowded,slow_uptake|cash_crunch|going_concern|discounted_take_private|dilution,cash_burn|reimbursement_failure|slow_uptake|dilution|going_concern,cash_runway|reimbursement|patient_uptake|dilution,false,false
AI_DRUG_DISCOVERY_PLATFORM,ai_drug_discovery_platform|candidate_molecule|platform_partnership,big_pharma_milestone|clinical_entry|cash_runway,validated_pipeline|partner_funded_progress|commercial_or_royalty_path,ai_drug_platform_overheated|poc_story_crowded,clinical_failure|cash_burn|platform_hype_unwind|no_approved_drug,no_approved_drug|cash_burn|clinical_failure|platform_hype,milestone|clinical_progress|cash_runway|approved_drug,false,false
DIGITAL_HEALTHCARE_AI,clinical_ai_paper|external_validation|hospital_pilot|regulatory_clearance,hospital_adoption|reimbursement|paid_workflow|recurring_revenue,workflow_embedded|recurring_revenue|op_improvement|liability_risk_low,medical_ai_narrative_overheated|paper_only_valuation_premium,subgroup_performance_issue|reimbursement_denial|liability_event|hospital_adoption_failure,subgroup_bias|no_reimbursement|liability|poc_only|date_unverified,hospital_adoption|reimbursement|subgroup|liability,false,false
DIGITAL_HEALTHCARE_REMOTE_MEDICINE,remote_medicine_policy|wearable_or_emr_integration|digital_health_platform,hospital_or_insurer_contract|b2b_b2b2c_contract|recurring_subscription|unit_economics,embedded_workflow|reimbursement_visible|repeat_usage|opm_improvement,telehealth_theme_crowded,regulatory_reversal|reimbursement_failure|privacy_incident|unit_economics_failure,regulation|privacy|reimbursement|cac|churn,regulation|reimbursement|unit_economics|privacy,false,false
TELEHEALTH_BEHAVIORAL_HEALTH,online_behavioral_health_demand|subscriber_growth|dtc_health_platform,employer_or_insurer_contract|cac_stable|repeat_usage,low_churn_contract_revenue|fcf_margin|privacy_clean,dtc_telehealth_growth_crowded,cac_spike|privacy_incident|impairment|forecast_withdrawal|churn,cac|privacy|impairment|forecast_withdrawal|churn,cac|privacy|impairment|churn,false,false
PHARMA_CHANNEL_AND_PRIVACY_RISK,online_pharmacy|compounded_drug_channel|health_data_platform,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,fda_ftc_scrutiny|compounded_quality_issue|privacy_breach|margin_collapse|doj_referral_risk,fda_ftc_scrutiny|compounded_quality_issue|privacy_breach|margin_pressure|illegal_copycat_drug,fda|ftc|privacy|compounded_quality,true,false
MEDICAL_DEVICE_HEALTHCARE_EXPORT,medical_device_export|new_approval|procedure_growth,export_country_expansion|recurring_procedure|consumable_revenue|opm_roe_improvement,repeat_procedure_demand|asp_stable|fcf_improvement|channel_quality,device_premium_crowded|target_multiple_saturated,approval_delay|safety_issue|price_control|channel_failure|single_device_no_consumable,approval_delay|safety|competition|channel_quality|single_device_no_consumable,approval|safety|channel_quality|procedure_repeat,false,false
MEDICAL_DEVICE_DENTAL_IMPLANT,dental_implant_growth|procedure_growth|approval_or_channel,export_country_expansion|recurring_procedure_consumable|opm_roe_improvement,approval_stable|repeat_consumable_revenue|pricing_pressure_low|channel_quality,implant_premium_crowded|vbp_risk_ignored,vbp_price_control|asp_drop|approval_delay|safety_issue|competition,vbp_price_control|approval|safety|competition|asp_drop,vbp|asp|approval|procedure_repeat,false,false
BOTULINUM_AESTHETIC_REGULATED,botulinum_toxin_demand|aesthetic_procedure_growth|licensed_channel,repeat_procedure|regulatory_approval|safe_distribution_channel|op_eps_revision,licensed_repeat_procedure|safety_clean|export_channel|fcf_conversion,aesthetic_toxin_premium_crowded,counterfeit_product|unapproved_product|injury_report|channel_failure|safety_issue,counterfeit|unapproved_product|safety|channel_failure,counterfeit|approval|licensed_channel|safety,false,false
